,address,categories,city,country,latitude,longitude,name,postalCode,province,reviews.date,reviews.dateAdded,reviews.doRecommend,reviews.id,reviews.rating,reviews.text,reviews.title,reviews.userCity,reviews.username,reviews.userProvince
28875,2607 Atlantic Ave,Hotels,Virginia Beach,US,36.85497235,-75.97641885,Holiday Inn Express Hotel and Suites Va Beach Oceanfront,23451,VA,2016-08-17T00:00:00Z,2016-10-30T21:12:22Z,,,7.1,Too hot in the rooms even with ac on,Too hot in the rooms even with ac on,VA,Anonymous,NY
26558,2055 E 5th St,"Travel & Transport,Hotels,Hotels & Motels",Metropolis,US,37.162308,-88.690626,Super 8 Metropolis,62960,Round Knob,2015-08-05T00:00:00Z,2016-11-03T22:09:12Z,,,3.0,"At was ok, definitely NOT a five star hotel but ok for one night, I will stay in it again if I'll go back to Metropolis IL",Fair,,Elias,
3010,102 N Alvernon Way,Hotels,Tucson,US,32.223615,-110.90941799999999,La Quinta Inn and Suites Tucson - Reid Park,85711,AZ,2016-10-08T00:00:00Z,2016-10-31T23:20:55Z,,,5.0,My family enjoyed the stay at La Quinta,Great Price and Great Family Hotel,,A Traveler,
29205,1535 Broadway,"Banquet Rooms,Hotels,Banquet Facilities,Hotels & Motels,Hotel,Hotels Motels",New York,US,40.758465,-73.985639,New York Marriott Marquis,10036,Nyc,2013-10-25T00:00:00Z,2017-03-26T17:25:47Z,,,1.0,You cannot get the rooms quiet or dark enough to sleep. This may be a great place for tourists but if you are traveling for work the glass elevators don't make up for the lack of peace and service.,,,Chelsea Heath,
20298,2091 Eatonton Rd,Hotels,Madison,US,33.55675,-83.47497,Super 8 Madison,30650,GA,2015-10-08T00:00:00Z,2016-11-21T16:01:06Z,,,2.0,"We'd stayed at this hotel before, a few years ago. But we knew it had closed down, so when I booked this room for the night, I had no idea it was the same place we'd stayed at before. This was a very small, very basic room. No frills of any kind no hair dryer, no iron/ironing board, shampoo, etc. Now that we know it's been reopened, we'll be sure not to book a room here again.",No Frills,,A Traveler,
17558,1725 Long Beach Blvd,Hotels,Long Beach,US,33.78864,-118.18946399999999,Best Western of Long Beach,90813,CA,2015-07-22T00:00:00Z,2016-11-15T11:22:55Z,,,4.0,We took advantage of the park and cruise package (stay the night before your cruise and leave your car there for up to a week). The staff was very friendly and helpful. The complimentary breakfast was fine. It was nice to park our car in their covered parking while we were gone for a week. The ride to and from... More,Great for park and cruise,Mobile,N6EAJ,AL
16101,2900 S Casino Dr,Hotels,Laughlin,US,35.144281,-114.57749199999999,Harrah's Laughlin Hotel and Casino,89029,NV,2016-06-21T00:00:00Z,2016-08-01T23:08:02Z,,,3.0,"First the positives: Casino and Buffet staff were very friendly and rooms were a good deal for the price....so it seemed. Negatives: No a/c in the elevators and each tower only has one and we were on the 17th floor that stops almost every floor...not good when it's 115 degrees. We have watercrafts and there is very little parking...sometimes had to wait till people left to park. Room A/C worked but not well. The price of 39 a night seemed good but once you get home they add another 11 resort fee that wasn't disclosed. Lastly, we ordered a coffee maker that was great for the first day but not refilled after that. We even called down to get more coffee three times and it never came so I finally walked down and bought some at the Starbucks. The last day when I called three times and finally went to get my own, I informed them it had been a few hours and I got my own so it would be great to take the coffee maker off our bill. They only took the last day off, even though we only had coffee one day.",Wouldn't stay here if it was free.,,Victor,
10055,Pasillo Del Matadero 16,"Hotels,Hotel",Ballentine,US,36.714936,-4.4264019999999995,Hotel Guadalmedina,29002,SC,2011-09-23T00:00:00Z,2017-04-06T19:06:15Z,,,,"la estacion malaga central está justo enfrente. salida por calle cuarteles, frente a la entrada por la confitería del hotel.",,,Victoria Rodriguez,
33998,Veitshoechheimer Str 5b,Hotels,Gresham,US,49.802514,9.921491,Ibis Wuerzburg City,97080,OR,2015-08-30T00:00:00Z,2016-11-16T03:58:31Z,,,3.0,"Het hotel bevind zich echt aan de buitenkant van de stad. Lastig parkeren en ook lastig te vinden met de tomtom. Maar beschikt over alles, vriendelijk personeel. Prima hotel voor een overnachting tussen twee bestemmingen door. Geen klachten!!",Buitenkant stad,,Evelien,
10110,476 Holiday Dr,"Hotels & Motels,Family-Friendly Hotels,Tourist Hotels,Weekend Getaway Hotels,Luxury Hotels,Resorts,Beach Hotels,Budget Hotels,Conventions,Lodging,Business Hotels,Conference & Convention Centers",Rutland,US,43.59359,-72.96237099999999,Holiday Inn Rutland-killington Area,05701-4925,VT,2008-10-06T00:00:00Z,2016-08-04T15:37:32Z,,,,"For more than 50 years, this hotel's familiar green sign has signaled budget-friendly lodging for families and business travelers. In ShortSince its 1952 debut in Memphis, Tenn., Holiday Inn has become one of the most recognized hotel brands in the world. Kids rule here: Children age 19 and younger stay for free when sharing a parent's room and as many as four children per family (age 12 or younger) eat for free at hotel restaurants. Other amenities include 24-hour business services, an in-room coffeemaker, iron, hair dryer, room service, a swimming pool and a fitness center.",,,Contributor,
