,location,price,bathrooms,car_parks,property_type,furnishing,main_rooms,extra_room,corner,size
0,KLCC,1250000,3.0,2.0,Serviced Residence,fully,2,1,False,1335.0
2,Dutamas,1030000,4.0,2.0,Condominium (Corner),partly,3,0,True,1875.0
4,Bukit Jalil,900000,3.0,2.0,Condominium (Corner),partly,4,1,True,1513.0
5,Taman Tun Dr Ismail,5350000,5.0,4.0,Bungalow,partly,4,2,False,7200.0
7,Taman Tun Dr Ismail,2600000,4.0,4.0,Semi-detached House,partly,5,0,False,3600.0
8,Taman Tun Dr Ismail,1950000,4.0,3.0,2-sty Terrace/Link House (EndLot),partly,4,1,False,75.0
9,Sri Petaling,385000,2.0,1.0,Apartment (Intermediate),partly,3,0,False,904.0
13,Taman Tun Dr Ismail,4580000,5.0,5.0,Bungalow (Intermediate),partly,6,1,False,6000.0
16,Bukit Tunku (Kenny Hills),9000000,7.0,4.0,Bungalow (Corner),partly,6,1,True,8500.0
18,Mont Kiara,1780000,4.0,2.0,Condominium (Corner),partly,4,1,True,1830.0
19,Mont Kiara,3450000,6.0,3.0,Condominium (Corner),fully,4,1,True,3720.0
20,Desa ParkCity,1500000,4.0,2.0,Condominium (Corner),partly,3,2,True,1798.0
21,Damansara Heights,1550000,1.0,1.0,Serviced Residence (Intermediate),fully,1,0,False,904.0
22,Mont Kiara,1500000,4.0,3.0,Condominium,fully,3,1,False,2163.0
24,Bangsar South,490000,1.0,1.0,Serviced Residence,fully,1,0,False,520.0
26,Bukit Jalil,610000,2.0,2.0,Condominium (Intermediate),partly,3,1,False,1236.0
28,Dutamas,1035880,4.0,1.0,Condominium (EndLot),partly,3,1,False,1876.0
31,Ampang Hilir,3300000,4.0,4.0,Condominium,unfurnished,4,1,False,3536.0
33,Ampang Hilir,460000,1.0,1.0,Serviced Residence,fully,1,0,False,613.0
35,KLCC,2400000,2.0,1.0,Serviced Residence,fully,2,0,False,1006.0
39,Jalan Klang Lama (Old Klang Road),1438000,4.0,3.0,Condominium (Corner),partly,3,2,True,2378.0
40,Mont Kiara,1720000,6.0,3.0,Condominium (Corner),partly,3,2,True,2020.0
42,KLCC,4280000,4.0,2.0,Serviced Residence (Corner),fully,3,1,True,2195.0
43,KLCC,2300000,2.0,1.0,Serviced Residence,partly,1,0,False,1023.0
44,Damansara Heights,4200000,5.0,5.0,Bungalow,partly,6,0,False,5274.0
45,Sungai Besi,900000,5.0,3.0,3-sty Terrace/Link House (Intermediate),fully,6,0,False,80.0
46,KLCC,2700000,4.0,3.0,Serviced Residence (Corner),fully,3,1,True,3095.0
47,Mont Kiara,1080000,2.0,1.0,Serviced Residence,fully,2,0,False,896.0
48,Mont Kiara,1150000,2.0,2.0,Condominium (Corner),partly,3,0,True,1200.0
49,Bukit Jalil,1070000,4.0,4.0,Condominium (EndLot),partly,4,1,False,1772.0
50,Bukit Jalil,930000,3.0,2.0,Condominium (EndLot),partly,4,0,False,1513.0
52,Bangsar South,780000,2.0,1.0,Serviced Residence (Corner),partly,2,0,True,880.0
53,KLCC,4098000,3.0,2.0,Serviced Residence (Intermediate),partly,3,1,False,2066.0
55,KL City,1800000,2.0,1.0,Serviced Residence (Duplex),fully,2,0,False,1244.0
57,Mont Kiara,2300000,5.0,2.0,Condominium (Corner),partly,4,1,True,2702.0
59,KLCC,4000000,3.0,2.0,Condominium (Intermediate),fully,3,1,False,2250.0
60,Ampang Hilir,4800000,6.0,3.0,Condominium,partly,5,0,False,4300.0
61,Ampang Hilir,3780000,5.0,4.0,Condominium (Corner),partly,4,1,True,3628.0
63,Bangsar South,850000,2.0,1.0,Serviced Residence,fully,2,1,False,1050.0
65,KLCC,1698800,2.0,1.0,Serviced Residence (Intermediate),fully,2,0,False,1227.0
66,Sungai Besi,999000,4.0,2.0,3-sty Terrace/Link House (Intermediate),partly,4,1,False,2512.0
67,KL Sentral,3500000,1.0,1.0,Serviced Residence,partly,1,0,False,1648.0
68,KLCC,1500000,2.0,1.0,Serviced Residence (Corner),fully,2,0,True,1022.0
69,KLCC,2300000,2.0,1.0,Serviced Residence (Intermediate),partly,1,0,False,1023.0
70,Mont Kiara,1830000,4.0,2.0,Condominium (Corner),partly,3,1,True,1830.0
71,Taman Melawati,750000,3.0,3.0,2-sty Terrace/Link House,partly,4,0,False,75.0
72,Setapak,580000,2.0,2.0,Condominium (Corner),partly,4,1,True,1550.0
73,KLCC,3000000,3.0,3.0,Serviced Residence,unfurnished,3,1,False,2066.0
74,Mont Kiara,2180000,4.0,3.0,Condominium (Corner),partly,4,1,True,3000.0
76,KLCC,2030000,5.0,2.0,Condominium,fully,3,1,False,2356.0
77,Mont Kiara,3450000,6.0,3.0,Condominium,fully,4,1,False,3720.0
79,City Centre,4080000,5.0,2.0,Condominium (Corner),partly,4,1,True,3713.0
80,Taman Tun Dr Ismail,2880000,3.0,4.0,2-sty Terrace/Link House (Corner),partly,4,1,True,4244.0
81,KLCC,1799000,1.0,1.0,Serviced Residence,fully,1,0,False,720.0
83,KLCC,1820000,2.0,2.0,Condominium (Corner),fully,2,1,True,1159.0
84,KLCC,1000000,3.0,2.0,Serviced Residence (Corner),partly,3,1,True,1313.0
85,KLCC,1650000,5.0,2.0,Condominium (Corner),fully,3,1,True,1905.0
87,KLCC,2300000,1.0,2.0,Serviced Residence,partly,1,0,False,1023.0
88,Mont Kiara,2400000,5.0,3.0,Condominium,partly,4,1,False,2702.0
89,KLCC,2055000,1.0,1.0,Serviced Residence (Intermediate),partly,1,1,False,797.0
90,KLCC,1714000,1.0,1.0,Serviced Residence (Intermediate),partly,1,0,False,700.0
93,KLCC,2300000,4.0,3.0,Serviced Residence (Corner),partly,3,1,True,3282.0
94,Bukit Jalil,920000,3.0,2.0,Condominium,partly,4,1,False,1513.0
95,KLCC,2300000,1.0,2.0,Serviced Residence (Intermediate),partly,1,0,False,1046.0
96,Taman Tun Dr Ismail,4995000,7.0,6.0,Bungalow,partly,5,1,False,8113.0
97,Taman Tun Dr Ismail,1630000,3.0,2.0,2-sty Terrace/Link House (Intermediate),partly,4,0,False,80.0
98,Mont Kiara,1850000,4.0,2.0,Condominium,partly,4,1,False,1830.0
100,KLCC,1783000,2.0,1.0,Condominium,partly,2,0,False,976.0
101,Dutamas,1180000,4.0,1.0,Condominium (Intermediate),partly,3,1,False,1942.0
103,Bukit Jalil,900000,3.0,2.0,Condominium (Corner),partly,4,1,True,1513.0
104,City Centre,1700000,2.0,1.0,Serviced Residence (Intermediate),fully,2,1,False,1442.0
108,Mont Kiara,3100000,6.0,3.0,Condominium (Corner),fully,4,1,True,3400.0
109,Bukit Jalil,630000,2.0,2.0,Serviced Residence,partly,2,0,False,791.0
111,Kepong,2040000,5.0,4.0,2.5-sty Terrace/Link House (Intermediate),partly,5,1,False,75.0
